	"State"	"State Code"	"Cases"	"Percent of Total"	"Rate per 100,000"	"Population"
	"Alabama"	"01"	5872	1.67%	5.59	105025278
	"Alaska"	"02"	1490	0.42%	9.75	15274904
	"Arizona"	"04"	5944	1.69%	4.60	129244473
	"Arkansas"	"05"	3258	0.93%	5.14	63423990
	"California"	"06"	73254	20.87%	9.04	810721108
	"Colorado"	"08"	2171	0.62%	2.06	105253099
	"Connecticut"	"09"	2417	0.69%	3.03	79875922
	"Delaware"	"10"	727	0.21%	3.81	19105327
	"District of Columbia"	"11"	1735	0.49%	12.74	13623824
	"Florida"	"12"	24811	7.07%	6.26	396138973
	"Georgia"	"13"	12437	3.54%	6.18	201368468
	"Hawaii"	"15"	3409	0.97%	11.52	29594497
	"Idaho"	"16"	316	0.09%	0.98	32250295
	"Illinois"	"17"	15004	4.27%	5.21	287946723
	"Indiana"	"18"	3271	0.93%	2.28	143303184
	"Iowa"	"19"	1159	0.33%	1.70	68351886
	"Kansas"	"20"	1471	0.42%	2.33	63150200
	"Kentucky"	"21"	3562	1.01%	3.73	95495047
	"Louisiana"	"22"	6186	1.76%	6.00	103137420
	"Maine"	"23"	431	0.12%	1.44	29839886
	"Maryland"	"24"	6376	1.82%	5.03	126692201
	"Massachusetts"	"25"	5952	1.70%	4.03	147627524
	"Michigan"	"26"	6257	1.78%	2.75	227499770
	"Minnesota"	"27"	4066	1.16%	3.49	116491611
	"Mississippi"	"28"	3566	1.02%	5.39	66099010
	"Missouri"	"29"	3467	0.99%	2.63	131979708
	"Montana"	"30"	305	0.09%	1.41	21602764
	"Nebraska"	"31"	635	0.18%	1.57	40435866
	"Nevada"	"32"	2357	0.67%	4.52	52187221
	"New Hampshire"	"33"	373	0.11%	1.28	29045267
	"New Jersey"	"34"	12237	3.49%	6.23	196557954
	"New Mexico"	"35"	1307	0.37%	2.98	43874831
	"New York"	"36"	37681	10.73%	8.57	439469951
	"North Carolina"	"37"	8708	2.48%	4.39	198369834
	"North Dakota"	"38"	195	0.06%	1.28	15282102
	"Ohio"	"39"	5490	1.56%	2.09	262579327
	"Oklahoma"	"40"	3499	1.00%	4.27	82009330
	"Oregon"	"41"	2557	0.73%	3.11	82309703
	"Pennsylvania"	"42"	8692	2.48%	3.03	286555176
	"Rhode Island"	"44"	949	0.27%	3.94	24103709
	"South Carolina"	"45"	5454	1.55%	5.57	97940084
	"South Dakota"	"46"	387	0.11%	2.15	17970348
	"Tennessee"	"47"	7130	2.03%	5.22	136493282
	"Texas"	"48"	37955	10.81%	7.29	520878155
	"Utah"	"49"	885	0.25%	1.57	56304714
	"Vermont"	"50"	135	0.04%	0.96	14097250
	"Virginia"	"51"	6999	1.99%	4.07	171758398
	"Washington"	"53"	5724	1.63%	4.00	143212680
	"West Virginia"	"54"	754	0.21%	1.79	42055499
	"Wisconsin"	"55"	1920	0.55%	1.52	126194790
	"Wyoming"	"56"	92	0.03%	0.76	12040743        

