"Regiao","Ano","Number.of.incident.tuberculosis.cases","Incidencia_anual","Number.of.incident.tuberculosis.cases....HIV.positive.cases.","Incidence.of.tuberculosis..per.100.000.population...HIV.positive.cases."
"1","Africa",2015,"2 720 000 [2 360 000 - 3 110 000]",275,"834 000 [710 000-969 000]","84 [72-98]"
"2","Africa",2014,"2 710 000 [2 370 000 - 3 080 000]",282,"884 000 [751 000-1 030 000]","92 [78-107]"
"3","Africa",2013,"2 740 000 [2 390 000 - 3 110 000]",292,"932 000 [793 000-1 080 000]","99 [85-115]"
"4","Africa",2012,"2 760 000 [2 420 000 - 3 130 000]",303,"1 000 000 [852 000-1 160 000]","110 [93-127]"
"5","Africa",2011,"2 770 000 [2 450 000 - 3 100 000]",311,"1 040 000 [891 000-1 210 000]","117 [100-136]"
"6","Africa",2010,"2 750 000 [2 450 000 - 3 070 000]",322,"1 060 000 [907 000-1 210 000]","123 [106-142]"
"7","Africa",2009,"2 750 000 [2 450 000 - 3 070 000]",331,"1 080 000 [926 000-1 240 000]","129 [111-149]"
"8","Africa",2008,"2 740 000 [2 440 000 - 3 060 000]",338,"1 090 000 [940 000-1 250 000]","135 [116-155]"
"9","Africa",2007,"2 730 000 [2 410 000 - 3 070 000]",346,"1 090 000 [937 000-1 250 000]","138 [119-158]"
"10","Africa",2006,"2 700 000 [2 380 000 - 3 030 000]",351,"1 100 000 [948 000-1 250 000]","143 [123-163]"
"11","Africa",2005,"2 660 000 [2 350 000 - 2 980 000]",355,"1 090 000 [947 000-1 250 000]","146 [127-166]"
"12","Africa",2004,"2 590 000 [2 300 000 - 2 910 000]",356,"1 080 000 [939 000-1 230 000]","148 [129-168]"
"13","Africa",2003,"2 520 000 [2 240 000 - 2 830 000]",355,"1 060 000 [923 000-1 200 000]","149 [130-169]"
"14","Africa",2002,"2 440 000 [2 170 000 - 2 730 000]",353,"1 020 000 [899 000-1 160 000]","148 [130-167]"
"15","Africa",2001,"2 350 000 [2 090 000 - 2 630 000]",349,"988 000 [870 000-1 110 000]","146 [129-165]"
"16","Africa",2000,"2 260 000 [2 010 000 - 2 530 000]",344,"942 000 [831 000-1 060 000]","143 [126-161]"
"17","Americas",2015,"268 000 [250 000 - 287 000]",27,"32 000 [29 000-35 000]","3.2 [2.9-3.5]"
"18","Americas",2014,"267 000 [248 000 - 286 000]",27,"31 000 [28 000-35 000]","3.2 [2.9-3.5]"
"19","Americas",2013,"270 000 [251 000 - 289 000]",28,"32 000 [29 000-36 000]","3.3 [3-3.7]"
"20","Americas",2012,"271 000 [252 000 - 290 000]",28,"33 000 [29 000-36 000]","3.4 [3-3.7]"
"21","Americas",2011,"277 000 [257 000 - 297 000]",29,"34 000 [31 000-38 000]","3.6 [3.2-4]"
"22","Americas",2010,"270 000 [250 000 - 291 000]",29,"32 000 [28 000-35 000]","3.4 [3-3.7]"
"23","Americas",2009,"277 000 [256 000 - 298 000]",30,"34 000 [30 000-38 000]","3.6 [3.2-4]"
"24","Americas",2008,"275 000 [255 000 - 296 000]",30,"33 000 [28 000-37 000]","3.5 [3.1-4]"
"25","Americas",2007,"279 000 [258 000 - 301 000]",31,"33 000 [29 000-37 000]","3.6 [3.2-4.1]"
"26","Americas",2006,"287 000 [266 000 - 309 000]",32,"33 000 [29 000-37 000]","3.7 [3.3-4.1]"
"27","Americas",2005,"292 000 [270 000 - 314 000]",33,"34 000 [30 000-38 000]","3.8 [3.4-4.3]"
"28","Americas",2004,"303 000 [280 000 - 328 000]",34,"37 000 [32 000-41 000]","4.1 [3.6-4.7]"
"29","Americas",2003,"299 000 [277 000 - 322 000]",34,"37 000 [33 000-42 000]","4.3 [3.8-4.8]"
"30","Americas",2002,"303 000 [280 000 - 327 000]",35,"36 000 [32 000-41 000]","4.2 [3.7-4.8]"
"31","Americas",2001,"301 000 [278 000 - 325 000]",35,"35 000 [31 000-39 000]","4.1 [3.6-4.6]"
"32","Americas",2000,"311 000 [286 000 - 336 000]",37,"35 000 [31 000-40 000]","4.2 [3.7-4.7]"
"33","South-East Asia",2015,"4 740 000 [3 230 000 - 6 540 000]",246,"227 000 [159 000-307 000]","12 [8.2-16]"
"34","South-East Asia",2014,"4 770 000 [3 240 000 - 6 600 000]",250,"235 000 [163 000-321 000]","12 [8.5-17]"
"35","South-East Asia",2013,"4 790 000 [3 240 000 - 6 630 000]",254,"255 000 [172 000-354 000]","14 [9.1-19]"
"36","South-East Asia",2012,"4 810 000 [3 240 000 - 6 680 000]",258,"266 000 [177 000-373 000]","14 [9.5-20]"
"37","South-East Asia",2011,"4 850 000 [3 260 000 - 6 740 000]",264,"274 000 [180 000-388 000]","15 [9.8-21]"
"38","South-East Asia",2010,"4 880 000 [3 270 000 - 6 800 000]",269,"286 000 [182 000-413 000]","16 [10-23]"
"39","South-East Asia",2009,"4 910 000 [3 280 000 - 6 860 000]",274,"298 000 [175 000-454 000]","17 [9.7-25]"
"40","South-East Asia",2008,"4 940 000 [3 300 000 - 6 920 000]",279,"308 000 [166 000-494 000]","17 [9.4-28]"
"41","South-East Asia",2007,"4 960 000 [3 300 000 - 6 950 000]",284,"313 000 [193 000-462 000]","18 [11-26]"
"42","South-East Asia",2006,"4 960 000 [3 290 000 - 6 970 000]",288,"317 000 [193 000-471 000]","18 [11-27]"
"43","South-East Asia",2005,"4 960 000 [3 290 000 - 6 970 000]",292,"319 000 [192 000-478 000]","19 [11-28]"
"44","South-East Asia",2004,"4 950 000 [3 280 000 - 6 960 000]",295,"318 000 [189 000-480 000]","19 [11-29]"
"45","South-East Asia",2003,"4 930 000 [3 270 000 - 6 920 000]",298,"314 000 [185 000-477 000]","19 [11-29]"
"46","South-East Asia",2002,"4 870 000 [3 230 000 - 6 840 000]",300,"306 000 [178 000-468 000]","19 [11-29]"
"47","South-East Asia",2001,"4 790 000 [3 170 000 - 6 740 000]",300,"293 000 [170 000-450 000]","18 [11-28]"
"48","South-East Asia",2000,"4 730 000 [3 130 000 - 6 640 000]",301,"277 000 [160 000-427 000]","18 [10-27]"
"49","Europe",2015,"323 000 [299 000 - 349 000]",36,"27 000 [23 000-31 000]","3 [2.5-3.4]"
"50","Europe",2014,"333 000 [308 000 - 359 000]",37,"24 000 [21 000-29 000]","2.7 [2.3-3.1]"
"51","Europe",2013,"349 000 [323 000 - 375 000]",39,"22 000 [19 000-26 000]","2.4 [2.1-2.8]"
